Cat, Kedi
Dog, Köpek
Elephant, Fil
Giraffe, Zürafa
Lion, Aslan
Tiger, Kaplan
Monkey, Maymun
Zebra, Zebra
Dolphin, Yunus
Penguin, Penguen
Fish, Balık
Bear, Ayı
Rabbit, Tavşan
Snake, Yılan
Horse, At
Cow, İnek
Sheep, Koyun
Kangaroo, Kanguru
Crocodile, Timsah
Eagle, Kartal
Owl, Baykuş
Fox, Tilki
Butterfly, Kelebek
Octopus, Ahtapot
Elephant Seal, Fok
Gorilla, Goril
Polar Bear, Kutup Ayısı
Koala, Koala
Chimpanzee, Şempanze
Parrot, Papağan
Hedgehog, Kirpi
Hamster, Hamster
Flamingo, Flamingo
Meerkat, Surikata
Sloth, Perezoso
Armadillo, Armadillo
Walrus, Mors
Bison, Bison
Gazelle, Ceylan
Lemur, Lemur
Raccoon, Rakun
Hyena, Hyena
Cheetah, Pars
Giraffe, Zürafa
Owl, Baykuş
Elephant, Fil
Camel, Deve
Panda, Panda
Rhinoceros, Gergedan
Koala, Koala
Peacock, Tavuskuşu
Jellyfish, Denizanısı
Bat, Yarasa
Hedgehog, Kirpi
Dolphin, Yunus
Chimpanzee, Şempanze
Porcupine, Yaban Mersini
Dinosaur, Dinozor
Platypus, Ornitorink
Ostrich, Devekuşu
Polar Bear, Kutup Ayısı
Walrus, Mors
Bison, Bison
Gazelle, Ceylan
Lemur, Lemur
Raccoon, Rakun
Hyena, Hyena
Cheetah, Pars
Giraffe, Zürafa
Owl, Baykuş
Elephant, Fil
Camel, Deve
Panda, Panda
Rhinoceros, Gergedan
Koala, Koala
Peacock, Tavuskuşu
Jellyfish, Denizanısı
Bat, Yarasa
Hedgehog, Kirpi
Dolphin, Yunus
Chimpanzee, Şempanze
Porcupine, Yaban Mersini
Dinosaur, Dinozor
Platypus, Ornitorink
Ostrich, Devekuşu
Polar Bear, Kutup Ayısı
Walrus, Mors
Bison, Bison
Gazelle, Ceylan
Lemur, Lemur
Raccoon, Rakun
Hyena, Hyena
Cheetah, Pars
Giraffe, Zürafa
Owl, Baykuş
Elephant, Fil
Camel, Deve
