Doktor,Doctor
Öğretmen, Teacher
Mühendis, Engineer
Avukat, Lawyer
Hemşire, Nurse
Polis, Police officer
Aşçı, Chef
Mimar, Architect
Sanatçı, Artist
Yazar, Writer
Müzisyen, Musician
Oyuncu, Actor/Actress
Gazeteci, Journalist
Pilot, Pilot
Fotografçı, Photographer
Bilgisayar Programcısı, Computer Programmer
Yönetici, Manager
Satış Temsilcisi, Sales Representative
Bankacı, Banker
Psikolog, Psychologist
Veteriner, Veterinarian
Tarım Uzmanı, Agriculturist
Eczacı, Pharmacist
Dentist, Dentist
Pazarlamacı, Marketer
Garson, Waiter/Waitress
Şoför, Driver
Elektrikçi, Electrician
Marangoz, Carpenter
Çiftçi, Farmer
Denizci, Sailor
Astrofizikçi, Astrophysicist
Yazılım Geliştirici, Software Developer
Yatırım Bankacısı, Investment Banker
Otel Yöneticisi, Hotel Manager
Turizm Rehberi, Tour Guide
Görsel Efekt Uzmanı, Visual Effects Artist
Astronot, Astronaut
Çevirmen, Translator
Ambulans Şoförü, Paramedic
Kuaför, Hairdresser
Diş Teknisyeni, Dental Technician
Yatırım Danışmanı, Investment Consultant
Kimyager, Chemist
Aşçı Çırak, Apprentice Chef
Makine Mühendisi, Mechanical Engineer
Uçuş Görevlisi, Flight Attendant
Otomotiv Teknisyeni, Automotive Technician
Dansçı, Dancer
Fizyoterapist, Physiotherapist
Radyolog, Radiologist
Girişimci, Entrepreneur
Nörolog, Neurologist
Ebe, Midwife
Arkeolog, Archaeologist
Şehir Plancısı, Urban Planner
Grafik Tasarımcı, Graphic Designer
Astronom, Astronomer
Yüzme Antrenörü, Swim Coach
Eczane Teknisyeni, Pharmacy Technician
