Kırmızı, Red
Mavi, Blue
Yeşil, Green
Sarı, Yellow
Turuncu, Orange
Mor, Purple
Pembe, Pink
Kahverengi, Brown
Gri, Gray
Beyaz, White
Siyah, Black
Altın, Gold
Gümüş, Silver
Açık Mavi, Light Blue
Açık Yeşil, Light Green
Açık Sarı, Light Yellow
Açık Turuncu, Light Orange
Açık Mor, Light Purple
Açık Pembe, Light Pink
Açık Kahverengi, Light Brown
Açık Gri, Light Gray
Açık Bej, Light Beige
Açık Turkuaz, Light Turquoise
Açık Lavanta, Light Lavender
Açık Kırmızı, Light Red
Açık Turuncu, Light Orange
Açık Sarı, Light Yellow
Açık Pembe, Light Pink
Açık Kahverengi, Light Brown
Açık Mor, Light Purple
Açık Gri, Light Gray
Açık Turkuaz, Light Turquoise
Açık Bej, Light Beige
Açık Lavanta, Light Lavender
Açık Kırmızı, Light Red
Açık Turuncu, Light Orange
Açık Sarı, Light Yellow
Açık Pembe, Light Pink
Açık Kahverengi, Light Brown
Açık Mor, Light Purple
Açık Gri, Light Gray
Açık Turkuaz, Light Turquoise
Açık Bej, Light Beige
Açık Lavanta, Light Lavender






