Araba, Car
Otobüs, Bus
Tren, Train
Uçak, Airplane
Gemi, Ship
Bisiklet, Bicycle
Motorsiklet, Motorcycle
Kamyon, Truck
Tramvay, Tram
Taksi, Taxi
Helikopter, Helicopter
Gemi, Boat
Yat, Yacht
Motosiklet, Motorbike
Jet, Jet
Vapur, Ferry
Taksi, Cab
Scooter, Scooter
Elektrikli Scooter, Electric Scooter
Uzay Mekiği, Space Shuttle
Uçurtma, Kite
Zigzag, Zigzag
Segway, Segway
Kızak, Sled
At Arabası, Carriage
Kano, Canoe
Yelkenli, Sailboat
Römork, Trailer
Buldozer, Bulldozer
Tank, Tank
Jet Ski, Jet Ski
Römork, Trailer
Uçurtma, Kite
SUV, SUV
Hava Balonu, Hot Air Balloon
Monoray, Monorail
Patenci, Skateboard
Kayak, Ski
Jetski, Jetski
Buz Kayığı, Iceboat
Yürüyüş Ayakkabısı, Walking Shoe
Kum Arabası, Dune Buggy
Rulman Paten, Roller Skates
Uzay Aracı, Spacecraft
Römork, Trailer
Hava Matarası, Blimp
Kum Arabası, Dune Buggy
Çim Biçme Makinesi, Lawnmower
Yüksek Hızlı Tren, High-Speed Train
Denizaltı, Submarine
Hidrolik Araç, Bulldozer
Uzay Aracı, Spacecraft
Römork, Trailer
Hava Matarası, Blimp
Kum Arabası, Dune Buggy
Çim Biçme Makinesi, Lawnmower
Yüksek Hızlı Tren, High-Speed Train
Denizaltı, Submarine
Hidrolik Araç, Bulldozer
