Elma, Apple
Muz, Banana
Üzüm, Grape
Portakal, Orange
Çilek, Strawberry
Karpuz, Watermelon
Kiraz, Cherry
Erik, Apricot
Armut, Pear
Şeftali, Peach
Nar, Pomegranate
Mango, Mango
Ananas, Pineapple
Avokado, Avocado
Çilek, Raspberry
Böğürtlen, Blackberry
Erik, Plum
Mandalina, Tangerine
Kivi, Kiwi
Limon, Lemon
Domates, Tomato
Salatalık, Cucumber
Havuç, Carrot
Patates, Potato
Soğan, Onion
Sarımsak, Garlic
Biber, Pepper
Brokoli, Broccoli
Ispanak, Spinach
Kabak, Zucchini
Kırmızı Lahana, Red cabbage
Pırasa, Leek
Enginar, Artichoke
Fasulye, Bean
Mercimek, Lentil
Nohut, Chickpea
Bulgur, Bulgur
Quinoa, Quinoa
Tahıl, Cereal
Pirinç, Rice
Makarna, Pasta
Ekmek, Bread
Süt, Milk
Yoğurt, Yogurt
Peynir, Cheese
Yumurta, Egg
Bal, Honey
Zeytinyağı, Olive oil
Tuz, Salt
Şeker, Sugar
Un, Flour
Baharatlar, Spices
Soslar, Sauces
Çikolata, Chocolate
Kahve, Coffee
Çay, Tea
Su, Water
